34.1745 	EXP 	movie: autoDraw = False
34.1745 	EXP 	movie: autoDraw = True
35.1579 	EXP 	eyetracker.setRecordingState(False)
35.5192 	EXP 	New trial (rep=2, index=6): OrderedDict([('videos', 'spot-original.avi')])
35.7838 	EXP 	eyetracker.clearEvents()
35.7840 	EXP 	eyetracker.setRecordingState(True)
35.7906 	EXP 	movie: autoDraw = False
35.7906 	EXP 	movie: autoDraw = True
36.7742 	EXP 	eyetracker.setRecordingState(False)
37.1385 	EXP 	New trial (rep=2, index=7): OrderedDict([('videos', 'spot-elongated-1.avi')])
37.4081 	EXP 	eyetracker.clearEvents()
37.4086 	EXP 	eyetracker.setRecordingState(True)
37.4152 	EXP 	movie: autoDraw = False
37.4152 	EXP 	movie: autoDraw = True
38.4075 	EXP 	eyetracker.setRecordingState(False)
38.7623 	EXP 	New trial (rep=3, index=0): OrderedDict([('videos', 'ball-original.avi')])
39.0272 	EXP 	eyetracker.clearEvents()
39.0276 	EXP 	eyetracker.setRecordingState(True)
39.0343 	EXP 	movie: autoDraw = False
39.0343 	EXP 	movie: autoDraw = True
39.8234 	EXP 	PFE: status = STOPPED
39.8403 	EXP 	movie: autoDraw = False
39.8403 	EXP 	PFE: status = STOPPED
39.8630 	EXP 	window1: mouseVisible = True
