videos,first_frame,sessions.thisRepN,sessions.thisTrialN,sessions.thisN,sessions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,start_exp.started,etRecord.started,etRecord.stopped,start_exp.stopped,focus.started,image.started,focus.stopped,trial.started,movie.started,trial.stopped,questions.started,key_resp.started,text.started,questions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,end_exp.started,etRecord_2.started,etRecord_2.stopped,end_exp.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
video/Sphere_init4_speed1_perturbation/delta2/0001-0150.avi,video/First_frame/Sphere_init4_speed1_perturbation_delta2_0001-0150.jpg,0,0,0,0,0,21,21,22,174.90527350000002,,,,,,174.88099699999975,174.90527350000002,175.88869290000002,175.8887009,176.15510289999975,182.38872279999987,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init1_speed1_perturbation/delta2/0001-0150.avi,video/First_frame/Sphere_init1_speed1_perturbation_delta2_0001-0150.jpg,0,0,0,0,0,22,22,13,182.53857359999984,,,,,,182.50087809999968,182.53857359999984,183.5053294999998,183.50533649999988,183.7886423,190.0052870999998,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init4_speed1/delta2/0001-0150.avi,video/First_frame/Sphere_init4_speed1_delta2_0001-0150.jpg,0,0,0,0,0,23,23,10,190.15525099999968,,,,,,190.11962619999986,190.15525099999968,191.12198929999977,191.12199569999984,191.4051832,197.6218530000001,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
,,0,0,0,0,,,,,,,,,,,,,,,,,197.73697619999984,197.8047561999997,197.8047561999997,222.63914049999994,space,24.833070199999838,None,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init3_speed1_perturbation/delta1/0001-0150.avi,video/First_frame/Sphere_init3_speed1_perturbation_delta1_0001-0150.jpg,1,0,1,0,0,0,0,18,222.67184719999977,,,,,,222.6417475999997,222.67184719999977,223.6549783999999,223.6549858999997,223.90520620000007,230.1218058999998,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init3_speed1/delta2/0001-0150.avi,video/First_frame/Sphere_init3_speed1_delta2_0001-0150.jpg,1,0,1,0,0,1,1,7,230.27159549999988,,,,,,230.2452000999997,230.27159549999988,231.25527699999975,231.25528480000003,231.5219032,237.7385823999998,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init4_speed1_perturbation/delta2/0001-0150.avi,video/First_frame/Sphere_init4_speed1_perturbation_delta2_0001-0150.jpg,1,0,1,0,0,2,2,22,237.88857150000013,,,,,,237.85810449999963,237.88857150000013,238.87193849999994,238.8719457000002,239.13827439999977,245.35525389999975,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init3_speed1_perturbation/original/0001-0150.avi,video/First_frame/Sphere_init3_speed1_perturbation_original_0001-0150.jpg,1,0,1,0,0,3,3,20,245.50516109999944,,,,,,245.47113390000004,245.50516109999944,246.47194609999997,246.47195379999948,246.73845089999986,252.9714100999995,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init2_speed1/delta2/0001-0150.avi,video/First_frame/Sphere_init2_speed1_delta2_0001-0150.jpg,1,0,1,0,0,4,4,4,253.12189389999958,,,,,,253.08508539999957,253.12189389999958,254.0885948,254.08860219999997,254.355188,260.5721110999998,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init2_speed1_perturbation/original/0001-0150.avi,video/First_frame/Sphere_init2_speed1_perturbation_original_0001-0150.jpg,1,0,1,0,0,5,5,17,260.72177039999997,,,,,,260.69713809999985,260.72177039999997,261.70533789999945,261.7053457999996,261.9718736,268.1885007999995,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
